Date,Adj Close,Close,High,Low,Open,Volume
4/30/2018,235.7277832,264.5100098,267.8900146,264.4299927,267.2600098,82182300
5/1/2018,236.146698,264.980011,265.1000061,262.1099854,263.8699951,74203400
5/2/2018,234.5603333,263.2000122,265.6799927,262.7600098,264.7600098,86368900
5/3/2018,234.043457,262.6199951,263.3599854,259.0499878,262.2600098,136311500
5/4/2018,237.0734406,266.019989,266.7900085,261.1499939,261.519989,91222100
5/7/2018,237.8755493,266.9200134,268.019989,266.1099854,266.8900146,55304900
5/8/2018,237.8755493,266.9200134,267.3299866,265.1499939,266.5,67499200
5/9/2018,240.1748047,269.5,269.8699951,267.0899963,267.6799927,59666100
5/10/2018,242.4204865,272.019989,272.3900146,270.2200012,270.3399963,72063900
5/11/2018,243.1601715,272.8500061,273.1499939,271.5799866,272.1600037,59871500
5/14/2018,243.2761078,272.980011,274.0799866,272.3599854,273.3399963,54790600
5/15/2018,241.600647,271.1000061,271.6099854,270.0299988,271.5899963,87036100
5/16/2018,242.6166077,272.2399902,272.7600098,271.1099854,271.1400146,53942600
5/17/2018,242.4116974,272.0100098,273.230011,271.1300049,271.9400024,56536400
5/18/2018,241.8056183,271.3299866,272.0299988,270.9299927,271.6199951,64368000
5/21/2018,243.623703,273.3699951,273.980011,272.5700073,273.0100098,58025900
5/22/2018,242.9463654,272.6099854,274.25,272.2399902,273.9599915,52966400
5/23/2018,243.6148224,273.3599854,273.3900146,270.9899902,271.1700134,64694200
5/24/2018,243.1157379,272.7999878,273.2200012,270.7799988,272.9100037,76043800
5/25/2018,242.5364075,272.1499939,272.8599854,271.5799866,272.1499939,56374800
5/29/2018,239.7469788,269.019989,271.1700134,267.7600098,270.3099976,115908600
5/30/2018,242.9463654,272.6099854,273.1099854,270.4200134,270.5,69678400
5/31/2018,241.4580994,270.9400024,272.4899902,270.2600098,272.1499939,93519900
6/1/2018,243.8286438,273.6000061,273.9400024,272.3299866,272.4100037,71258400
6/4/2018,244.9872284,274.8999939,275.1900024,274.2600098,274.5299988,45385200
6/5/2018,245.1654663,275.1000061,275.5299988,274.1799927,275.0499878,51135000
6/6/2018,247.2151031,277.3999939,277.519989,275.0899963,275.7900085,62732200
6/7/2018,247.188446,277.3699951,278.2799988,276.3399963,277.9500122,72969400
6/8/2018,247.9192047,278.1900024,278.25,276.6600037,276.8500061,72139700
6/11/2018,248.2489014,278.5599976,279.3699951,278.3099976,278.4400024,58892500
6/12/2018,248.5697632,278.9200134,279.3299866,278.1900024,279.0299988,72329000
6/13/2018,247.7766113,278.0299988,279.480011,277.7999878,279.1900024,79070600
6/14/2018,248.4004822,278.730011,279.3299866,278.0599976,279.0100098,77097600
6/15/2018,248.0835571,277.1300049,277.5100098,275.3500061,276.6000061,120041600
6/18/2018,247.5733032,276.5599976,276.7000122,274.9500122,275.4899902,52917600
6/19/2018,246.6243591,275.5,275.75,273.5299988,274,97531500
6/20/2018,247.045166,275.9700012,276.7200012,275.5899963,276.269989,53785500
